flight_id,departure_date,origin,destination,price,availability
FL2366,2024-12-21,SFO,HKG,1267,High
FL4008,2025-01-14,CHI,BER,841,Low
FL5324,2024-12-23,SFO,LON,588,Medium
FL3624,2025-01-04,SFO,BER,1357,Medium
FL1409,2025-01-15,LAX,AMS,751,Medium
FL2293,2025-01-10,CHI,HKG,1242,High
FL7053,2024-12-23,CHI,HKG,901,High
FL4517,2025-01-15,CHI,HKG,315,Low
FL5333,2024-12-28,SFO,AMS,242,High
FL9189,2025-01-08,SFO,PAR,1174,Low
FL8935,2025-01-15,NYC,PAR,1082,High
FL4882,2025-01-06,NYC,LON,349,Low
FL8533,2024-12-29,CHI,AMS,263,Low
FL3069,2025-01-15,SFO,LON,632,High
FL5004,2025-01-02,LAX,AMS,827,High
FL7046,2024-12-21,NYC,HKG,801,Medium
FL3803,2024-12-29,CHI,PAR,309,Low
FL6527,2025-01-01,LAX,AMS,1382,High
FL6772,2024-12-24,SFO,PAR,987,Medium
FL9928,2024-12-31,LAX,LON,1069,Medium
FL6609,2025-01-09,LAX,AMS,687,Medium
FL2282,2025-01-16,LAX,AMS,876,High
FL7136,2024-12-21,LAX,LON,1072,Low
FL9948,2024-12-31,ATL,PAR,732,High
FL3527,2024-12-30,NYC,LON,1074,Low
FL4473,2025-01-10,LAX,LON,1214,Medium
FL7111,2025-01-02,CHI,HKG,1190,Medium
FL8376,2025-01-08,NYC,LON,980,Low
FL4796,2024-12-21,NYC,LON,1194,High
FL2652,2025-01-09,LAX,BER,1461,Low
FL7828,2025-01-01,LAX,PAR,522,Low
FL3967,2025-01-18,CHI,HKG,505,Medium
FL3891,2024-12-22,NYC,AMS,969,Low
FL4103,2025-01-02,CHI,HKG,1487,Low
FL2218,2024-12-21,LAX,PAR,936,High
FL9502,2024-12-25,SFO,BER,832,High
FL4859,2025-01-10,CHI,BER,1286,Medium
FL1466,2024-12-26,CHI,HKG,1354,Medium
FL2247,2025-01-18,ATL,HKG,639,Low
FL7437,2025-01-16,ATL,LON,496,Medium
FL8866,2025-01-12,ATL,BER,295,Medium
FL9345,2024-12-22,LAX,AMS,275,Medium
FL6996,2024-12-23,SFO,BER,442,High
FL4427,2025-01-05,SFO,AMS,639,High
FL4381,2024-12-29,CHI,HKG,1418,High
FL1312,2025-01-04,LAX,LON,559,High
FL5354,2025-01-05,SFO,AMS,431,Medium
FL2654,2024-12-24,LAX,LON,1037,High
FL9441,2024-12-23,ATL,AMS,1428,Low
FL8049,2025-01-01,CHI,HKG,1071,Medium
FL4538,2025-01-13,SFO,PAR,1457,Medium
FL2445,2025-01-15,SFO,BER,1104,Low
FL4954,2025-01-08,SFO,LON,832,Low
FL5692,2024-12-30,LAX,AMS,318,High
FL2550,2025-01-13,NYC,AMS,1024,Medium
FL7804,2025-01-17,LAX,LON,935,High
FL6037,2025-01-10,CHI,AMS,1409,Medium
FL4415,2024-12-29,NYC,HKG,958,High
FL6066,2024-12-24,NYC,PAR,379,High
FL1410,2024-12-22,LAX,AMS,1430,Medium
FL3875,2025-01-17,CHI,LON,1345,Medium
FL2661,2024-12-25,CHI,BER,1346,Low
FL6576,2024-12-22,LAX,LON,651,Low
FL7993,2025-01-09,ATL,LON,1365,Medium
FL3007,2025-01-16,SFO,HKG,330,Medium
FL3810,2025-01-05,LAX,BER,530,Low
FL3642,2024-12-23,NYC,LON,678,High
FL4099,2025-01-16,ATL,BER,766,Medium
FL6504,2025-01-12,NYC,BER,421,Medium
FL7693,2025-01-06,NYC,BER,1150,Low
FL7827,2025-01-07,SFO,PAR,342,Medium
FL8087,2024-12-31,ATL,BER,570,High
FL2036,2025-01-05,LAX,BER,537,Low
FL8029,2025-01-03,NYC,PAR,591,Medium
FL1756,2024-12-31,ATL,LON,699,Low
FL2896,2025-01-11,NYC,PAR,1183,High
FL2673,2025-01-14,ATL,HKG,764,Medium
FL3696,2025-01-17,LAX,PAR,907,Medium
FL8279,2024-12-26,SFO,BER,634,Low
FL3402,2025-01-10,LAX,LON,1479,High
FL5139,2024-12-28,ATL,LON,1327,High
FL6611,2025-01-06,LAX,LON,937,High
FL5118,2025-01-11,ATL,BER,304,Medium
FL7537,2024-12-22,LAX,PAR,436,Low
FL5229,2025-01-16,LAX,HKG,707,Low
FL9308,2025-01-12,SFO,PAR,675,Low
FL3616,2024-12-31,SFO,HKG,539,Medium
FL3301,2025-01-07,LAX,AMS,551,Low
FL7136,2025-01-03,LAX,PAR,328,Low
FL8240,2025-01-05,LAX,AMS,1115,High
FL8566,2024-12-27,ATL,BER,406,Low
FL6168,2025-01-07,NYC,PAR,440,Low
FL2788,2025-01-04,SFO,HKG,1227,Medium
FL8141,2024-12-20,LAX,HKG,487,Medium
FL3721,2025-01-14,LAX,BER,625,Medium
FL4690,2024-12-24,NYC,BER,1064,Medium
FL4206,2025-01-03,NYC,PAR,875,Low
FL3739,2025-01-05,ATL,HKG,848,High
FL8663,2025-01-02,SFO,AMS,1227,Low
FL3870,2025-01-07,ATL,HKG,1411,Medium
FL6670,2025-01-13,SFO,PAR,386,High
FL9747,2025-01-09,NYC,AMS,534,High
FL6687,2025-01-17,NYC,HKG,758,Medium
FL2596,2025-01-12,ATL,HKG,309,Low
FL1861,2024-12-27,LAX,BER,1367,Low
FL6123,2024-12-21,LAX,LON,641,Low
FL2337,2024-12-25,SFO,PAR,1257,High
FL1708,2024-12-24,SFO,BER,777,Medium
FL4475,2024-12-30,LAX,LON,822,Low
FL3873,2024-12-25,SFO,PAR,519,High
FL9013,2024-12-22,SFO,HKG,806,Low
FL3923,2025-01-02,NYC,LON,272,High
FL7485,2025-01-15,NYC,AMS,1425,Low
FL1397,2025-01-18,ATL,HKG,371,High
FL8180,2025-01-16,CHI,BER,383,Medium
FL6834,2024-12-31,NYC,AMS,1269,Low
FL2024,2024-12-28,NYC,AMS,1421,Low
FL7610,2024-12-24,ATL,AMS,801,Low
FL2656,2025-01-12,CHI,AMS,1458,Medium
FL9955,2025-01-15,SFO,AMS,210,High
FL4517,2025-01-07,NYC,BER,552,High
FL3644,2024-12-21,SFO,AMS,660,High
FL2577,2025-01-04,SFO,BER,1437,High
FL2196,2025-01-17,ATL,HKG,842,High
FL8999,2025-01-02,SFO,PAR,233,Medium
FL8773,2025-01-05,LAX,BER,1471,High
FL7447,2025-01-07,NYC,BER,1121,Medium
FL5406,2024-12-23,SFO,HKG,1106,High
FL1716,2025-01-09,ATL,LON,629,Low
FL2670,2025-01-08,LAX,HKG,1178,High
FL5754,2025-01-12,NYC,BER,1214,High
FL1602,2025-01-03,CHI,AMS,705,Medium
FL4342,2024-12-21,NYC,PAR,1213,High
FL9162,2025-01-05,NYC,LON,696,Low
FL5301,2025-01-17,SFO,AMS,201,High
FL4893,2025-01-14,CHI,AMS,315,Low
FL8127,2025-01-11,NYC,HKG,425,Medium
FL7009,2025-01-01,SFO,PAR,1077,Low
FL1022,2024-12-23,CHI,HKG,483,Low
FL2392,2024-12-20,LAX,LON,417,High
FL9090,2025-01-02,CHI,BER,1327,Medium
FL7459,2024-12-21,ATL,AMS,1027,High
FL3560,2025-01-09,NYC,HKG,277,High
FL8587,2025-01-04,ATL,HKG,1287,High
FL5632,2025-01-05,ATL,AMS,211,Low
FL2561,2024-12-20,ATL,AMS,305,High
FL3322,2025-01-06,LAX,HKG,545,Low
FL6303,2025-01-15,LAX,AMS,1489,Low
FL9282,2024-12-20,SFO,HKG,1375,Low
FL6987,2025-01-12,NYC,HKG,675,Medium
FL9810,2024-12-30,SFO,AMS,1287,Medium
FL7769,2025-01-11,CHI,LON,1067,Medium
FL7544,2024-12-28,ATL,AMS,335,High
FL7908,2024-12-24,LAX,LON,634,High
FL5923,2024-12-28,CHI,BER,503,Low
FL6257,2025-01-16,NYC,PAR,778,High
FL6505,2024-12-22,LAX,BER,1435,Medium
FL1833,2025-01-18,LAX,PAR,1052,Medium
FL2333,2025-01-12,ATL,LON,563,Low
FL5041,2025-01-10,SFO,PAR,1020,Medium
FL4920,2025-01-04,NYC,HKG,465,Medium
FL6638,2025-01-13,SFO,BER,1405,High
FL6713,2024-12-30,ATL,AMS,1415,Low
FL2200,2025-01-06,ATL,LON,398,Medium
FL1100,2025-01-06,SFO,LON,1243,High
FL1044,2025-01-16,CHI,LON,1366,Medium
FL1259,2025-01-03,SFO,HKG,1364,High
FL4472,2025-01-05,ATL,HKG,1228,Medium
FL9588,2025-01-06,ATL,PAR,1253,Low
FL9908,2025-01-16,SFO,LON,1098,Medium
FL1402,2025-01-06,CHI,BER,960,Medium
FL7651,2024-12-24,ATL,LON,778,High
FL4630,2024-12-30,NYC,LON,479,Low
FL6366,2024-12-22,LAX,PAR,619,Low
FL6941,2024-12-25,NYC,BER,1344,High
FL7862,2025-01-12,CHI,PAR,968,Medium
FL1605,2024-12-25,CHI,LON,754,Medium
FL3383,2025-01-12,ATL,AMS,1024,High
FL7047,2025-01-01,ATL,HKG,420,Medium
FL8343,2025-01-15,NYC,PAR,983,Medium
FL7942,2024-12-25,SFO,BER,1479,Low
FL3785,2025-01-09,ATL,LON,459,Medium
FL4807,2025-01-13,NYC,BER,1004,Medium
FL5609,2024-12-27,SFO,PAR,1136,Low
FL8173,2024-12-24,SFO,LON,1486,Medium
FL8564,2025-01-13,LAX,LON,1434,High
FL4753,2025-01-10,LAX,AMS,916,Medium
FL6287,2025-01-16,SFO,BER,1034,Medium
FL2146,2025-01-04,SFO,PAR,862,High
FL8069,2025-01-09,CHI,BER,770,Low
FL8677,2024-12-24,NYC,PAR,541,High
FL3022,2025-01-17,NYC,LON,1483,Medium
FL9895,2024-12-23,ATL,PAR,478,High
FL5869,2024-12-29,NYC,PAR,1173,Medium
FL7019,2025-01-09,CHI,BER,203,Medium
FL8955,2025-01-17,ATL,LON,1164,Medium
FL1303,2025-01-12,ATL,PAR,921,Medium
FL5228,2024-12-24,LAX,HKG,962,Medium
FL7779,2025-01-01,NYC,AMS,540,Low
FL5364,2025-01-05,LAX,LON,896,Medium
